# $Id$
#
# Copyright (C) 1999-2003 Jens Thoms Toerring
#
# This file is part of fsc2.
#
# Fsc2 is free software; you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation; either version 2, or (at your option)
# any later version.
#
# Fsc2 is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
# GNU General Public License for more details.
#
# You should have received a copy of the GNU General Public License
# along with fsc2; see the file COPYING.  If not, write to
# the Free Software Foundation, 59 Temple Place - Suite 330,
# Boston, MA 02111-1307, USA.
#
#
# About the syntax of table files:
# 1. Lines starting with a `#' are comments,
# 2. Usually the first entry in a line is the frequency, the second the
#    attenuation to be added. Both numbers may be followed by a unit.
#    As long as it's clear from the units which is the frequency and which
#    is the attenuation the attenuation can come first and the frequency
#    second (and they even didn't got to be on the same line).
# 3. Entry can be separated by spaces, commata, semicolons, colons, tabs or
#    newlines or any combination of these characters (a unit will also
#    work as a separator.
# 4. There can be multiple entries in one line - there's nothing special about
#    newlines, they have the same function as any other separator character.
# 5. The entries don't have to be sorted (e.g. by frequency).
# 6. Empty lines don't matter.
# 7. The only condition is that there are pairs of entries, one being the
#    frequency, the other the attenuation.

 1.0 MHz,    0.0 dB
 7.0 MHz,   -0.7 dB
 7.1 MHz,   -0.8 dB
 7.2 MHz,   -1.0 dB
 7.3 MHz,   -1.1 dB
 7.4 MHz,   -1.2 dB
 7.5 MHz,   -1.4 dB
 7.6 MHz,   -1.6 dB
 7.7 MHz,   -1.7 dB
 7.8 MHz,   -1.8 dB
 7.9 MHz,   -1.9 dB
 8.0 MHz,   -2.1 dB
 8.1 MHz,   -2.2 dB
 8.2 MHz,   -2.3 dB
 8.3 MHz,   -2.4 dB
 8.4 MHz,   -2.4 dB
 8.5 MHz,   -2.5 dB
 8.6 MHz,   -2.6 dB
 8.7 MHz,   -2.7 dB
 8.8 MHz,   -2.7 dB
 8.9 MHz,   -2.8 dB
 9.0 MHz,   -2.8 dB
 9.1 MHz,   -2.8 dB
 9.2 MHz,   -2.9 dB
 9.3 MHz,   -2.8 dB
 9.4 MHz,   -2.8 dB
 9.5 MHz,   -2.8 dB
 9.6 MHz,   -2.8 dB
 9.7 MHz,   -2.8 dB
 9.8 MHz,   -2.7 dB
 9.9 MHz,   -2.7 dB
10.0 MHz,   -2.7 dB
10.1 MHz,   -2.6 dB
10.2 MHz,   -2.5 dB
10.3 MHz,   -2.5 dB
10.4 MHz,   -2.4 dB
10.5 MHz,   -2.4 dB
10.6 MHz,   -2.4 dB
