# $Id$
#
# This file is part of fsc2.
#
# Fsc2 is free software; you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation; either version 2, or (at your option)
# any later version.
#
# Fsc2 is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
# GNU General Public License for more details.
#
# You should have received a copy of the GNU General Public License
# along with fsc2; see the file COPYING.  If not, write to
# the Free Software Foundation, 59 Temple Place - Suite 330,
# Boston, MA 02111-1307, USA.
#
#
# About the syntax of table files:
# 1. Lines starting with a `#' are comments,
# 2. Usually the first entry in a line is the frequency, the second the
#    attenuation to be added. Both numbers may be followed by a unit.
#    As long as it's clear from the units which is the frequency and which
#    is the attenuation the attenuation can come first and the frequency
#    second (and they even didn't got to be on the same line).
# 3. Entry can be separated by spaces, commata, semicolons, colons, tabs or
#    newlines or any combination of these characters (a unit will also
#    work as a separator.
# 4. There can be multiple entries in one line - there's nothing special about
#    newlines, they have the same function as any other separator character.
# 5. The entries don't have to be sorted (e.g. by frequency).
# 6. Empty lines don't matter.
# 7. The only condition is that there are pairs of entries, one being the
#    frequency, the other the attenuation.

1.00000000 MHz,    0.00000000 dB
7.00000000 MHz,   -0.70000000 dB
7.10000000 MHz,   -0.80000000 dB
7.20000000 MHz,   -1.00000000 dB
7.30000000 MHz,   -1.10000000 dB
7.40000000 MHz,   -1.20000000 dB
7.50000000 MHz,   -1.40000000 dB
7.60000000 MHz,   -1.60000000 dB
7.70000000 MHz,   -1.70000000 dB
7.80000000 MHz,   -1.80000000 dB
7.90000000 MHz,   -1.90000000 dB
8.00000000 MHz,   -2.10000000 dB
8.10000000 MHz,   -2.20000000 dB
8.20000000 MHz,   -2.30000000 dB
8.30000000 MHz,   -2.40000000 dB
8.40000000 MHz,   -2.40000000 dB
8.50000000 MHz,   -2.50000000 dB
8.60000000 MHz,   -2.60000000 dB
8.70000000 MHz,   -2.70000000 dB
8.80000000 MHz,   -2.70000000 dB
8.90000000 MHz,   -2.80000000 dB
9.00000000 MHz,   -2.80000000 dB
9.10000000 MHz,   -2.80000000 dB
9.20000000 MHz,   -2.90000000 dB
9.30000000 MHz,   -2.80000000 dB
9.40000000 MHz,   -2.80000000 dB
9.50000000 MHz,   -2.80000000 dB
9.60000000 MHz,   -2.80000000 dB
9.70000000 MHz,   -2.80000000 dB
9.80000000 MHz,   -2.70000000 dB
9.90000000 MHz,   -2.70000000 dB
